"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"RRP6" "MATCH" "1" "RRP6" "S. cerevisiae" "Ribosomal RNA Processing" "2202" "YOR001W" "S000005527" "ORF"
"TSL1" "MATCH" "1" "TSL1" "S. cerevisiae" "Trehalose Synthase Long chain" "3297" "YML100W" "S000004566" "ORF"
"UBP16" "MATCH" "1" "UBP16" "S. cerevisiae" "UBiquitin-specific Protease" "1500" "YPL072W" "S000005993" "ORF"
"TUP1" "MATCH" "1" "TUP1" "S. cerevisiae" "dTMP-UPtake" "2142" "YCR084C" "S000000680" "ORF"
"HAL9" "MATCH" "1" "HAL9" "S. cerevisiae" "HALotolerance" "3093" "YOL089C" "S000005449" "ORF"
"SUS1" "MATCH" "1" "SUS1" "S. cerevisiae" "Sl gene Upstream of ySa1" "441" "YBR111W-A" "S000028510" "ORF"
"ATG21" "MATCH" "1" "ATG21" "S. cerevisiae" "AuTophaGy related" "1491" "YPL100W" "S000006021" "ORF"
"UBP13" "MATCH" "1" "UBP13" "S. cerevisiae" "UBiquitin-specific Protease" "2244" "YBL067C" "S000000163" "ORF"
"SET1" "MATCH" "1" "SET1" "S. cerevisiae" "SET domain-containing" "3243" "YHR119W" "S000001161" "ORF"
"UBP15" "MATCH" "1" "UBP15" "S. cerevisiae" "UBiquitin-specific Protease" "3693" "YMR304W" "S000004920" "ORF"
"ARG82" "MATCH" "1" "ARG82" "S. cerevisiae" "ARGinine requiring" "1068" "YDR173C" "S000002580" "ORF"
"UBP14" "MATCH" "1" "UBP14" "S. cerevisiae" "UBiquitin-specific Protease" "2346" "YBR058C" "S000000262" "ORF"
"ATG23" "MATCH" "1" "ATG23" "S. cerevisiae" "AuTophaGy related" "1362" "YLR431C" "S000004423" "ORF"
"RRP8" "MATCH" "1" "RRP8" "S. cerevisiae" "Ribosomal RNA Processing" "1179" "YDR083W" "S000002490" "ORF"
"UBP10" "MATCH" "1" "UBP10" "S. cerevisiae" "UBiquitin-specific Protease" "2379" "YNL186W" "S000005130" "ORF"
"YOR338W" "MATCH" "1" "" "S. cerevisiae" "" "1092" "YOR338W" "S000005865" "ORF"
"SLA1" "MATCH" "1" "SLA1" "S. cerevisiae" "Synthetic Lethal with ABP1" "3735" "YBL007C" "S000000103" "ORF"
"LSM12" "MATCH" "1" "LSM12" "S. cerevisiae" "Like SM" "564" "YHR121W" "S000001163" "ORF"
"SET4" "MATCH" "1" "SET4" "S. cerevisiae" "SET domain-containing" "1683" "YJL105W" "S000003641" "ORF"
"ARG80" "MATCH" "1" "ARG80" "S. cerevisiae" "ARGinine requiring" "534" "YMR042W" "S000004645" "ORF"
"BIM1" "MATCH" "1" "BIM1" "S. cerevisiae" "BInding to Microtubules" "1035" "YER016W" "S000000818" "ORF"
"ARG81" "MATCH" "1" "ARG81" "S. cerevisiae" "ARGinine requiring" "2643" "YML099C" "S000004565" "ORF"
"SWT21" "MATCH" "1" "SWT21" "S. cerevisiae" "Synthetic With Tgs1" "1074" "YNL187W" "S000005131" "ORF"
"SET5" "MATCH" "1" "SET5" "S. cerevisiae" "SET domain-containing" "1581" "YHR207C" "S000001250" "ORF"
"SET2" "MATCH" "1" "SET2" "S. cerevisiae" "SET domain-containing" "2202" "YJL168C" "S000003704" "ORF"
"SET3" "MATCH" "1" "SET3" "S. cerevisiae" "SET domain-containing" "2256" "YKR029C" "S000001737" "ORF"
"PSY2" "MATCH" "1" "PSY2" "S. cerevisiae" "Platinum SensitivitY" "2577" "YNL201C" "S000005145" "ORF"
"SNF12" "MATCH" "1" "SNF12" "S. cerevisiae" "Sucrose NonFermenting" "1701" "YNR023W" "S000005306" "ORF"
"APQ12" "MATCH" "1" "APQ12" "S. cerevisiae" "APical growth revealed by Quantitative morphological analysis" "417" "YIL040W" "S000001302" "ORF"
"VPS36" "MATCH" "1" "VPS36" "S. cerevisiae" "Vacuolar Protein Sorting" "1701" "YLR417W" "S000004409" "ORF"
"SNF11" "MATCH" "1" "SNF11" "S. cerevisiae" "Sucrose NonFermenting" "510" "YDR073W" "S000002480" "ORF"
"PML39" "MATCH" "1" "PML39" "S. cerevisiae" "Pre-mRNA Leakage" "1005" "YML107C" "S000004575" "ORF"
"ASC1" "MATCH" "1" "ASC1" "S. cerevisiae" "Absence of growth Suppressor of Cyp1" "1233" "YMR116C" "S000004722" "ORF"
"ASE1" "MATCH" "1" "ASE1" "S. cerevisiae" "Anaphase Spindle Elongation" "2658" "YOR058C" "S000005584" "ORF"
"MED1" "MATCH" "1" "MED1" "S. cerevisiae" "MEDiator complex" "1701" "YPR070W" "S000006274" "ORF"
"RME1" "MATCH" "1" "RME1" "S. cerevisiae" "Regulator of MEiosis" "903" "YGR044C" "S000003276" "ORF"
"MED2" "MATCH" "1" "MED2" "S. cerevisiae" "MEDiator complex" "1296" "YDL005C" "S000002163" "ORF"
"STP3" "MATCH" "1" "STP3" "S. cerevisiae" "protein with similarity to Stp1p" "1032" "YLR375W" "S000004367" "ORF"
"STP2" "MATCH" "1" "STP2" "S. cerevisiae" "protein with similarity to Stp1p" "1626" "YHR006W" "S000001048" "ORF"
"STP1" "MATCH" "1" "STP1" "S. cerevisiae" "Species-specific tRNA Processing" "1560" "YDR463W" "S000002871" "ORF"
"RTS1" "MATCH" "1" "RTS1" "S. cerevisiae" "Rox Three Suppressor" "2274" "YOR014W" "S000005540" "ORF"
"ATG10" "MATCH" "1" "ATG10" "S. cerevisiae" "AuTophaGy related" "504" "YLL042C" "S000003965" "ORF"
"RFX1" "MATCH" "1" "RFX1" "S. cerevisiae" "Regulatory Factor X" "2436" "YLR176C" "S000004166" "ORF"
"PAT1" "MATCH" "1" "PAT1" "S. cerevisiae" "Protein Associated with Topoisomerase II" "2391" "YCR077C" "S000000673" "ORF"
"YNL213C" "MATCH" "1" "RRG9" "S. cerevisiae" "Required for Respiratory Growth" "645" "YNL213C" "S000005157" "ORF"
"DIG1" "MATCH" "1" "DIG1" "S. cerevisiae" "Down-regulator of Invasive Growth" "1359" "YPL049C" "S000005970" "ORF"
"HOG1" "MATCH" "1" "HOG1" "S. cerevisiae" "High Osmolarity Glycerol response" "1308" "YLR113W" "S000004103" "ORF"
"DIG2" "MATCH" "1" "DIG2" "S. cerevisiae" "Down-regulator of Invasive Growth" "972" "YDR480W" "S000002888" "ORF"
"ACE2" "MATCH" "1" "ACE2" "S. cerevisiae" "Activator of CUP1 Expression" "2313" "YLR131C" "S000004121" "ORF"
"MUD2" "MATCH" "1" "MUD2" "S. cerevisiae" "Mutant U1 Die" "1584" "YKL074C" "S000001557" "ORF"
"YPL199C" "MATCH" "1" "" "S. cerevisiae" "" "723" "YPL199C" "S000006120" "ORF"
"YBR285W" "MATCH" "1" "" "S. cerevisiae" "" "435" "YBR285W" "S000000489" "ORF"
"REV3" "MATCH" "1" "REV3" "S. cerevisiae" "REVersionless" "4515" "YPL167C" "S000006088" "ORF"
"VPS24" "MATCH" "1" "VPS24" "S. cerevisiae" "Vacuolar Protein Sorting" "675" "YKL041W" "S000001524" "ORF"
"PPR1" "MATCH" "1" "PPR1" "S. cerevisiae" "Pyrimidine Pathway Regulation" "2715" "YLR014C" "S000004004" "ORF"
"YMR031C" "MATCH" "1" "EIS1" "S. cerevisiae" "EISosome" "2532" "YMR031C" "S000004633" "ORF"
"VPS25" "MATCH" "1" "VPS25" "S. cerevisiae" "Vacuolar Protein Sorting" "609" "YJR102C" "S000003863" "ORF"
"VPS28" "MATCH" "1" "VPS28" "S. cerevisiae" "Vacuolar Protein Sorting" "729" "YPL065W" "S000005986" "ORF"
"VPS27" "MATCH" "1" "VPS27" "S. cerevisiae" "Vacuolar Protein Sorting" "1869" "YNR006W" "S000005289" "ORF"
"PIF1" "MATCH" "1" "PIF1" "S. cerevisiae" "Petite Integration Frequency" "2580" "YML061C" "S000004526" "ORF"
"TIF4631" "MATCH" "1" "TIF4631" "S. cerevisiae" "Translation Initiation Factor" "2859" "YGR162W" "S000003394" "ORF"
"RPN4" "MATCH" "1" "RPN4" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1596" "YDL020C" "S000002178" "ORF"
"ASF1" "MATCH" "1" "ASF1" "S. cerevisiae" "Anti-Silencing Function" "840" "YJL115W" "S000003651" "ORF"
"ELM1" "MATCH" "1" "ELM1" "S. cerevisiae" "ELongated Morphology" "1923" "YKL048C" "S000001531" "ORF"
"DHH1" "MATCH" "1" "DHH1" "S. cerevisiae" "DEAD box Helicase Homolog" "1521" "YDL160C" "S000002319" "ORF"
"YIL014C-A" "MATCH" "1" "" "S. cerevisiae" "" "315" "YIL014C-A" "S000003536" "ORF"
"FKH1" "MATCH" "1" "FKH1" "S. cerevisiae" "ForK head Homolog" "1455" "YIL131C" "S000001393" "ORF"
"SRO9" "MATCH" "1" "SRO9" "S. cerevisiae" "Suppressor of rho3" "1305" "YCL037C" "S000000542" "ORF"
"MSC1" "MATCH" "1" "MSC1" "S. cerevisiae" "Meiotic Sister-Chromatid recombination" "1542" "YML128C" "S000004597" "ORF"
"MMS22" "MATCH" "1" "MMS22" "S. cerevisiae" "Methyl MethaneSulfonate sensitivity" "4365" "YLR320W" "S000004312" "ORF"
"RAD23" "MATCH" "1" "RAD23" "S. cerevisiae" "RADiation sensitive" "1197" "YEL037C" "S000000763" "ORF"
"SBP1" "MATCH" "1" "SBP1" "S. cerevisiae" "" "885" "YHL034C" "S000001026" "ORF"
"SAN1" "MATCH" "1" "SAN1" "S. cerevisiae" "Sir Antagonist" "1833" "YDR143C" "S000002550" "ORF"
"RAD27" "MATCH" "1" "RAD27" "S. cerevisiae" "RADiation sensitive" "1149" "YKL113C" "S000001596" "ORF"
"YTA7" "MATCH" "1" "YTA7" "S. cerevisiae" "Yeast Tat-binding Analog" "4140" "YGR270W" "S000003502" "ORF"
"RAD28" "MATCH" "1" "RAD28" "S. cerevisiae" "RADiation sensitive" "1521" "YDR030C" "S000002437" "ORF"
"RAD26" "MATCH" "1" "RAD26" "S. cerevisiae" "RADiation sensitive" "3258" "YJR035W" "S000003796" "ORF"
"VPS15" "MATCH" "1" "VPS15" "S. cerevisiae" "Vacuolar Protein Sorting" "4365" "YBR097W" "S000000301" "ORF"
"FZF1" "MATCH" "1" "FZF1" "S. cerevisiae" "Five Zinc Fingers" "900" "YGL254W" "S000003223" "ORF"
"VPS16" "MATCH" "1" "VPS16" "S. cerevisiae" "Vacuolar Protein Sorting" "2397" "YPL045W" "S000005966" "ORF"
"SNF1" "MATCH" "1" "SNF1" "S. cerevisiae" "Sucrose NonFermenting" "1902" "YDR477W" "S000002885" "ORF"
"CUE1" "MATCH" "1" "CUE1" "S. cerevisiae" "Coupling of Ubiquitin conjugation to ER degradation" "612" "YMR264W" "S000004877" "ORF"
"SNF2" "MATCH" "1" "SNF2" "S. cerevisiae" "Sucrose NonFermenting" "5112" "YOR290C" "S000005816" "ORF"
"SRN2" "MATCH" "1" "SRN2" "S. cerevisiae" "Suppressor of Rna mutations, Number 2" "642" "YLR119W" "S000004109" "ORF"
"NGG1" "MATCH" "1" "NGG1" "S. cerevisiae" "" "2109" "YDR176W" "S000002583" "ORF"
"VAC8" "MATCH" "1" "VAC8" "S. cerevisiae" "VACuole related" "1737" "YEL013W" "S000000739" "ORF"
"ATG32" "MATCH" "1" "ATG32" "S. cerevisiae" "AuTophaGy related" "1590" "YIL146C" "S000001408" "ORF"
"SNF7" "MATCH" "1" "SNF7" "S. cerevisiae" "Sucrose NonFermenting" "723" "YLR025W" "S000004015" "ORF"
"GRR1" "MATCH" "1" "GRR1" "S. cerevisiae" "Glucose Repression-Resistant" "3456" "YJR090C" "S000003850" "ORF"
"SNF8" "MATCH" "1" "SNF8" "S. cerevisiae" "Sucrose NonFermenting" "702" "YPL002C" "S000005923" "ORF"
"SNF5" "MATCH" "1" "SNF5" "S. cerevisiae" "Sucrose NonFermenting" "2718" "YBR289W" "S000000493" "ORF"
"SNF6" "MATCH" "1" "SNF6" "S. cerevisiae" "Sucrose NonFermenting" "999" "YHL025W" "S000001017" "ORF"
"SNF4" "MATCH" "1" "SNF4" "S. cerevisiae" "Sucrose NonFermenting" "969" "YGL115W" "S000003083" "ORF"
"SAM3" "MATCH" "1" "SAM3" "S. cerevisiae" "S-AdenosylMethionine metabolism" "1764" "YPL274W" "S000006195" "ORF"
