#	ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
	r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	"1.1.2.4;1.1.99.-"	(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W)					"bigg.reaction/D_LACDcm;kegg.pathway/sce00620;kegg.pathway/sce00920;kegg.reaction/R00197;metanetx.reaction/MNXR138960;sbo/SBO:0000176"	Pyruvate metabolism		MetaNetX ID curated (PR #220)		2
	r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[m] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[m]	"1.1.2.4;1.1.99.-"	(YDL178W and YEL039C) or (YDL178W and YJR048W)					"bigg.reaction/D_LACDm;kegg.pathway/sce00620;kegg.pathway/sce00920;kegg.reaction/R00197;metanetx.reaction/MNXR138960;sbo/SBO:0000176"	Pyruvate metabolism		MetaNetX ID curated (PR #220)		2
	r_0003	(R,R)-butanediol dehydrogenase	(R,R)-2,3-butanediol[c] + NAD[c] <=> (R)-acetoin[c] + H+[c] + NADH[c]	1.1.1.4	YAL060W					"bigg.reaction/BTDD_RR;kegg.pathway/sce00650;kegg.reaction/R02946;metanetx.reaction/MNXR107844;sbo/SBO:0000176"	Butanoate metabolism				2
	r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	(S)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	1.1.2.3	(YEL039C and YML054C) or (YJR048W and YML054C)					"bigg.reaction/L_LACD2cm;kegg.pathway/sce00620;kegg.pathway/sce00920;kegg.reaction/R00196;metanetx.reaction/MNXR138959;sbo/SBO:0000176"	Pyruvate metabolism		MetaNetX ID curated (PR #220)		2
	r_0005	1,3-beta-glucan synthase	UDP-D-glucose[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]	2.4.1.34	(YPR165W and YLR342W) or (YPR165W and YGR032W) or (YPR165W and YMR306W)					"kegg.pathway/sce00500;kegg.pathway/sce04011;kegg.reaction/R03118;metanetx.reaction/MNXR143499;pubmed/7649185;sbo/SBO:0000176"	Starch and sucrose metabolism		MetaNetX ID curated (PR #220)		3
	r_0006	1,6-beta-glucan synthase	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]		YGR143W or YPR159W					"pubmed/8321211;sbo/SBO:0000176"	Starch and sucrose metabolism				3
	r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c] => 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c]	5.3.1.16	YIL020C					"bigg.reaction/PRMICI;kegg.pathway/sce00340;kegg.pathway/sce01110;kegg.pathway/sce01230;kegg.reaction/R04640;metanetx.reaction/MNXR103169;sbo/SBO:0000176"	Histidine metabolism				2
	r_0012	1-pyrroline-5-carboxylate dehydrogenase	1-pyrroline-5-carboxylate[m] + 2 H2O[m] + NAD[m] => H+[m] + L-glutamate[m] + NADH[m]	1.2.1.88	YHR037W					"bigg.reaction/P5CDm;kegg.pathway/sce00250;kegg.pathway/sce00330;kegg.reaction/R00707;metanetx.reaction/MNXR102301;pubmed/387737;sbo/SBO:0000176"	Alanine, aspartate and glutamate metabolism		rxnDirection curated (PR #227)		3
	r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3 H2O[c] => 4-methylthio-2-oxobutanoate[c] + formate[c] + 6 H+[c] + phosphate[c]	"1.13.11.54;3.1.3.77"	YEL038W and YMR009W					"kegg.pathway/sce00270;pubmed/14506228;sbo/SBO:0000176"	Cysteine and methionine metabolism				3
	r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c] => 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]	"3.5.4.26;5.4.99.28"	YOL066C					"bigg.reaction/DRTPPD;kegg.pathway/sce00740;kegg.reaction/R09377;metanetx.reaction/MNXR112805;pubmed/9068650;sbo/SBO:0000176"	Riboflavin metabolism		KEGG ID curated (PR #220)		3
